,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
145,"October 8, 2020","18,280,102 - (+166)","3,851 - (0)","2,059 - (0)",0.43% - (0.00%)
146,"October 8, 2020","18,279,936 - (+66)","3,851 - (-1)","2,059 - (0)",0.43% - (0.00%)
147,"October 8, 2020","18,279,870 - (+265)","3,852 - (0)","2,059 - (0)",0.43% - (+0.01%)
148,"October 7, 2020","18,279,605 - (-995)","3,852 - (0)","2,059 - (+1)",0.42% - (-0.03%)
149,"October 7, 2020","18,280,600 - (-1,249)","3,852 - (0)","2,058 - (0)",0.45% - (+0.01%)
150,"October 7, 2020","18,281,849 - (-1,027)","3,852 - (-2)","2,058 - (+3)",0.44% - (-0.05%)
151,"October 2, 2020","18,282,876 - (+4,391)","3,854 - (+5)","2,055 - (+2)",0.49% - (-0.02%)
152,"September 30, 2020","18,278,485 - (+2,262)","3,849 - (+1)","2,053 - (+1)",0.51% - (+0.03%)
153,"September 30, 2020","18,276,223 - (+1,375)","3,848 - (0)","2,052 - (0)",0.48% - (0.00%)
154,"September 29, 2020","18,274,848 - (+13,593)","3,848 - (-1)","2,052 - (+2)",0.48% - (-0.07%)
155,"September 28, 2020","18,261,255 - (+16)","3,849 - (0)","2,050 - (0)",0.55% - (0.00%)
156,"September 28, 2020","18,261,239 - (-796)","3,849 - (0)","2,050 - (0)",0.55% - (0.00%)
157,"September 27, 2020","18,262,035 - (+2,851)","3,849 - (-1)","2,050 - (+2)",0.55% - (-0.04%)
158,"September 25, 2020","18,259,184 - (-2,850)","3,850 - (+1)","2,048 - (+1)",0.59% - (-0.04%)
159,"September 23, 2020","18,262,034 - (+1,528)","3,849 - (+1)","2,047 - (+2)",0.63% - (-0.01%)
160,"September 21, 2020","18,260,506 - (-2,855)","3,848 - (-3)","2,045 - (+1)",0.64% - (+0.02%)
161,"September 18, 2020","18,263,361 - (-977)","3,851 - (-1)","2,044 - (+1)",0.62% - (-0.02%)
162,"September 17, 2020","18,264,338 - (+515)","3,852 - (+2)","2,043 - (0)",0.64% - (+0.01%)
163,"September 16, 2020","18,263,823 - (-2,394)","3,850 - (0)","2,043 - (+1)",0.63% - (0.00%)
164,"September 16, 2020","18,266,217 - (-429)","3,850 - (-2)","2,042 - (+2)",0.63% - (-0.09%)
165,"September 13, 2020","18,266,646 - (-639)","3,852 - (-1)","2,040 - (0)",0.72% - (0.00%)
166,"September 12, 2020","18,267,285 - (+580)","3,853 - (0)","2,040 - (0)",0.72% - (0.00%)
167,"September 12, 2020","18,266,705 - (+794)","3,853 - (-1)","2,040 - (0)",0.72% - (+0.04%)
168,"September 10, 2020","18,265,911 - (-61)","3,854 - (0)","2,040 - (+1)",0.68% - (-0.09%)
169,"September 10, 2020","18,265,972 - (+761)","3,854 - (-1)","2,039 - (0)",0.77% - (+0.01%)
170,"September 9, 2020","18,265,211 - (-372)","3,855 - (0)","2,039 - (+2)",0.76% - (-0.02%)
171,"September 7, 2020","18,265,583 - (-122)","3,855 - (+7)","2,037 - (+1)",0.78% - (+0.08%)
172,"September 4, 2020","18,265,705 - (+2,705)","3,848 - (+1)","2,036 - (+2)",0.70% - (-0.02%)
173,"September 3, 2020","18,263,000 - (+1,552)","3,847 - (0)","2,034 - (0)",0.72% - (+0.01%)
174,"September 2, 2020","18,261,448 - (+1,145)","3,847 - (0)","2,034 - (0)",0.71% - (+0.01%)
175,"September 2, 2020","18,260,303 - (+2,297)","3,847 - (0)","2,034 - (+1)",0.70% - (0.00%)
176,"September 1, 2020","18,258,006 - (+925)","3,847 - (0)","2,033 - (+1)",0.70% - (-0.03%)
177,"September 1, 2020","18,257,081 - (-26)","3,847 - (0)","2,032 - (0)",0.73% - (0.00%)
178,"September 1, 2020","18,257,107 - (-1,248)","3,847 - (+5)","2,032 - (0)",0.73% - (+0.04%)
179,"August 31, 2020","18,258,355 - (-187)","3,842 - (0)","2,032 - (+1)",0.69% - (-0.11%)
180,"August 31, 2020","18,258,542 - (-1,228)","3,842 - (0)","2,031 - (0)",0.80% - (+0.01%)
181,"August 30, 2020","18,259,770 - (+49)","3,842 - (0)","2,031 - (0)",0.79% - (0.00%)
182,"August 30, 2020","18,259,721 - (-1,449)","3,842 - (0)","2,031 - (0)",0.79% - (0.00%)
183,"August 30, 2020","18,261,170 - (+242)","3,842 - (0)","2,031 - (+1)",0.79% - (+0.01%)
184,"August 29, 2020","18,260,928 - (+3,029)","3,842 - (+2)","2,030 - (+4)",0.78% - (+0.04%)
185,"August 24, 2020","18,257,899 - (-597)","3,840 - (0)","2,026 - (0)",0.74% - (0.00%)
186,"August 23, 2020","18,258,496 - (+1,458)","3,840 - (0)","2,026 - (0)",0.74% - (+0.01%)
187,"August 22, 2020","18,257,038 - (+759)","3,840 - (-1)","2,026 - (+1)",0.73% - (-0.01%)
188,"August 21, 2020","18,256,279 - (+3,544)","3,841 - (+6)","2,025 - (+2)",0.74% - (+0.05%)
189,"August 18, 2020","18,252,735 - (-2,433)","3,835 - (+1)","2,023 - (+2)",0.69% - (-0.05%)
190,"August 16, 2020","18,255,168 - (+346)","3,834 - (0)","2,021 - (0)",0.74% - (0.00%)
191,"August 16, 2020","18,254,822 - (-256)","3,834 - (0)","2,021 - (0)",0.74% - (+0.01%)
192,"August 16, 2020","18,255,078 - (-184)","3,834 - (0)","2,021 - (0)",0.73% - (0.00%)
193,"August 16, 2020","18,255,262 - (-776)","3,834 - (-1)","2,021 - (0)",0.73% - (0.00%)
194,"August 15, 2020","18,256,038 - (+749)","3,835 - (+2)","2,021 - (0)",0.73% - (+0.02%)
195,"August 14, 2020","18,255,289 - (-811)","3,833 - (0)","2,021 - (0)",0.71% - (+0.02%)
196,"August 14, 2020","18,256,100 - (+244)","3,833 - (0)","2,021 - (+1)",0.69% - (-0.10%)
197,"August 14, 2020","18,255,856 - (+1,559)","3,833 - (-1)","2,020 - (0)",0.79% - (+0.03%)
198,"August 13, 2020","18,254,297 - (-160)","3,834 - (+16)","2,020 - (+1)",0.76% - (+0.07%)
199,"August 11, 2020","18,254,457 - (-395)","3,818 - (0)","2,019 - (+1)",0.69% - (-0.02%)
200,"August 10, 2020","18,254,852 - (-516)","3,818 - (-1)","2,018 - (0)",0.71% - (0.00%)
201,"August 9, 2020","18,255,368 - (-2,145)","3,819 - (0)","2,018 - (0)",0.71% - (+0.01%)
202,"August 8, 2020","18,257,513 - (-348)","3,819 - (0)","2,018 - (0)",0.70% - (0.00%)
203,"August 8, 2020","18,257,861 - (-479)","3,819 - (+1)","2,018 - (+1)",0.70% - (0.00%)
204,"August 7, 2020","18,258,340 - (-1,984)","3,818 - (-3)","2,017 - (+1)",0.70% - (0.00%)
205,"August 5, 2020","18,260,324 - (-249)","3,821 - (+2)","2,016 - (0)",0.70% - (0.00%)
206,"August 4, 2020","18,260,573 - (-1,149)","3,819 - (-2)","2,016 - (0)",0.70% - (+0.02%)
207,"August 3, 2020","18,261,722 - (+301)","3,821 - (0)","2,016 - (0)",0.68% - (+0.02%)
208,"August 3, 2020","18,261,421 - (-491)","3,821 - (-1)","2,016 - (+1)",0.66% - (0.00%)
209,"August 2, 2020","18,261,912 - (-251)","3,822 - (0)","2,015 - (0)",0.66% - (+0.01%)
210,"August 2, 2020","18,262,163 - (-817)","3,822 - (0)","2,015 - (+1)",0.65% - (-0.04%)
211,"August 1, 2020","18,262,980 - (-1,412)","3,822 - (+1)","2,014 - (0)",0.69% - (+0.01%)
212,"July 31, 2020","18,264,392 - (-676)","3,821 - (0)","2,014 - (0)",0.68% - (0.00%)
213,"July 31, 2020","18,265,068 - (-738)","3,821 - (0)","2,014 - (0)",0.68% - (+0.01%)
214,"July 30, 2020","18,265,806 - (-1,307)","3,821 - (+3)","2,014 - (+1)",0.67% - (-0.03%)
215,"July 30, 2020","18,267,113 - (-1,858)","3,818 - (0)","2,013 - (+1)",0.70% - (-0.03%)
216,"July 29, 2020","18,268,971 - (-3,098)","3,818 - (-1)","2,012 - (+1)",0.73% - (-0.05%)
217,"July 28, 2020","18,272,069 - (-2,734)","3,819 - (+3)","2,011 - (+1)",0.78% - (0.00%)
218,"July 26, 2020","18,274,803 - (-2,362)","3,816 - (+1)","2,010 - (0)",0.78% - (+0.01%)
219,"July 25, 2020","18,277,165 - (-842)","3,815 - (+1)","2,010 - (0)",0.77% - (+0.01%)
220,"July 25, 2020","18,278,007 - (-620)","3,814 - (0)","2,010 - (+1)",0.76% - (0.00%)
221,"July 24, 2020","18,278,627 - (-2,607)","3,814 - (0)","2,009 - (+1)",0.76% - (+0.07%)
222,"July 23, 2020","18,281,234 - (-3,093)","3,814 - (+1)","2,008 - (+1)",0.69% - (0.00%)
223,"July 22, 2020","18,284,327 - (-1,998)","3,813 - (0)","2,007 - (+1)",0.69% - (-0.01%)
